,제목,별점,사람,기타정보,상영시간
899,마루타이의 여인,3.6,45,['1997 ・ 일본'],2시간 11분
901,만다린 - 만청십대혹형,2.6,19,['1995 ・ 판타지 ・ 홍콩'],1시간 32분
904,8과 1/2,3.8,"5,970",['1963 ・ 드라마 ・ 이탈리아'],2시간 20분
906,꿈의 미로,3.7,82,['1997 ・ 스릴러 ・ 일본'],1시간 30분
907,수자쿠,3.8,251,['1997 ・ 드라마 ・ 일본'],1시간 35분
908,사랑한다,2.0,5,['1997 ・ 드라마 ・ 일본'],1시간 54분
910,감시,3.0,1,['1997 ・ 중국'],1시간 40분
914,붉은 문,0,0,['1997 ・ 인도'],
916,"긴 여로, 짧은 행복",0,0,['1987 ・ 드라마 ・ 미국'],
918,"Washington, le président McKinley adressant son message",0,0,['1897 ・ 다큐멘터리'],
920,,0,0,[],
930,첫사랑,3.3,203,['1997 ・ 드라마 ・ 홍콩'],
932,취하면 괴물이 되는 아빠가 싫다,1.3,3,['2019 ・ 드라마 ・ 일본'],1시간 35분
934,가시망토를 쓴 소년,3.3,887,['2013 ・ 애니메이션 ・ 한국'],5분
938,감염,2.5,229,['2004 ・ 공포 ・ 일본'],1시간 38분
940,,0,0,[],
942,모헨조 다로,2.7,29,['2016 ・ 액션 ・ 인도'],2시간 33분
943,폭력의 씨앗,3.0,"3,379",['2017 ・ 드라마 ・ 한국'],
944,변방에서 중심으로,3.4,33,['1997 ・ 다큐멘터리 ・ 한국'],1시간 4분
945,"남자는 괴로워 1 - 토라, 우리의 사랑스런 여행자",3.3,13,['1969 ・ 로맨틱코미디 ・ 일본'],1시간 31분
946,,0,0,[],
948,애니 기븐 선데이,3.6,1만,['1999 ・ 스포츠 ・ 미국'],2시간 42분
953,Orbis Pictus,3.5,1,['1997'],1시간 45분
956,,0,0,[],
957,,0,0,[],
958,커리어 걸스,3.7,20,['1997 ・ 드라마 ・ 프랑스 ・ 영국'],1시간 27분
961,퐁네프의 연인들,3.8,3만,['1991 ・ 드라마 ・ 프랑스'],
966,어느 어머니 아들,3.2,37,['1996 ・ 아일랜드'],1시간 52분
967,브라더 2,3.9,23,['2000 ・ 러시아'],2시간 6분
969,퓨너럴,3.5,356,['1996 ・ 드라마 ・ 미국'],1시간 39분
970,캔사스 시티,3.4,166,['1996 ・ 스릴러 ・ 미국 ・ 프랑스'],
971,크로니클 오브 어 디서피어런스,3.1,13,['1996 ・ 이스라엘'],1시간 28분
981,완령옥,3.7,343,['1991 ・ 로맨스 ・ 홍콩 ・ 미국'],2시간 47분
985,최가복성,2.9,158,['1986 ・ 코미디 ・ 홍콩'],
1029,사탄의 태양 아래서,3.5,361,['1987 ・ 드라마 ・ 프랑스'],1시간 33분
1033,내가 쓴 것,3.2,33,['1996 ・ 드라마 ・ 호주'],
1040,밥에게 무슨 일이 생겼나,3.3,281,['1991 ・ 코미디 ・ 미국'],1시간 39분
1041,호머와 에디,2.4,7,['1989 ・ 드라마 ・ 미국'],1시간 42분
1047,,0,0,[],
1050,스미스씨 워싱톤 가다,3.7,"2,175",['1939 ・ 드라마 ・ 미국'],
1051,잃어버린 테잎,0,0,['1990 ・ 액션 ・ 미국'],1시간 28분
1057,진실과 코미디,2.4,5,['1995 ・ 영국 ・ 미국'],2시간 8분
1059,라스트 모히칸 2,4.5,1,['1996 ・ 서부극 ・ 미국'],1시간 34분
1060,폭풍 탈주,3.0,5,['1995 ・ 액션 ・ 미국'],1시간 28분
1061,,0,0,[],
1062,인생 이야기,2.9,31,['1993 ・ 판타지 ・ 영국 ・ 일본'],2시간 2분
1066,두 소녀의 놀라운 모험,3.3,115,['1995 ・ 로맨틱코미디 ・ 미국'],1시간 34분
1067,네비아,3.3,3,['2019 ・ 드라마 ・ 이탈리아'],1시간 26분
1070,오늘 밤 아무도 집에 돌아오지 않는다,0,0,['1996 ・ 대만'],2시간 00분
1071,데드존,3.2,716,['1983 ・ 공포 ・ 미국'],
1075,,0,0,[],
1084,뉴욕 광시곡,3.4,329,['1996 ・ 다큐멘터리 ・ 미국'],1시간 58분
1093,,0,0,[],
1099,,0,0,[],
1104,연어알,3.8,112,['1991 ・ 드라마 ・ 독일'],1시간 34분
1120,,0,0,[],
1125,브라이튼 록,3.9,6,['1947 ・ 범죄 ・ 영국'],1시간 32분
1130,안나 이야기,2.8,23,['1993 ・ 드라마 ・ 스페인'],1시간 40분
1131,달과 꼭지,3.1,495,['1994 ・ 코미디 ・ 스페인 ・ 프랑스'],1시간 28분
1134,조이 럭 클럽,3.6,"1,238",['1993 ・ 로맨스 ・ 미국'],2시간 19분
1136,내가 성에 관해 알고 있는 몇가지 이야기들,1.0,2,['1993 ・ 한국'],1시간 47분
1145,블랙 레인,3.3,"4,284",['1989 ・ 액션 ・ 미국'],2시간 5분
1146,,0,0,[],
1149,,0,0,[],
1150,,0,0,[],
1151,,0,0,[],
1152,지리멸렬,3.6,"4,130",['1994 ・ 코미디 ・ 한국'],31분
1155,,0,0,[],
1169,마징카이저,3.1,782,['2010 ・ 애니메이션 ・ 일본'],
1173,안녕하세요 하나님,3.2,366,['1987 ・ 드라마 ・ 한국'],
1176,굿바이 마이 프랜드,4.0,11만,['1995 ・ 드라마 ・ 미국'],1시간 37분
1180,시티즌 X,2.8,10,['1995 ・ 드라마 ・ 미국'],1시간 43분
1193,현금에 손대지 마라,3.8,114,['1953 ・ 범죄 ・ 이탈리아 ・ 프랑스'],1시간 34분
1194,푸셔,3.4,253,['1996 ・ 범죄 ・ 덴마크'],1시간 50분
1195,로미와 미셀,3.0,129,['1997 ・ 미국'],1시간 31분
1205,레전드,3.1,3만,['2015 ・ 범죄 ・ 영국'],
1207,,0,0,[],
1208,내츄럴 에너미,3.5,1,['1997 ・ 캐나다 ・ 미국'],1시간 28분
1209,차타레 부인의 사랑,2.5,45,['1992 ・ 로맨스 ・ 영국'],3시간 30분
1210,릴리의 선택,0,0,['1994 ・ 미국'],1시간 30분
1213,전화고양,0,0,['1993 ・ 홍콩'],
1214,늑대 개,3.5,1만,['1991 ・ 가족 ・ 미국'],1시간 47분
1215,,0,0,[],
1219,누드 모델,3.3,800,['1991 ・ 드라마 ・ 프랑스 ・ 스위스'],4시간 00분
1222,,0,0,[],
1223,2001 스페이스 오디세이,4.0,6만,['1968 ・ SF ・ 영국 ・ 미국'],
1228,닐 바이 마우스,3.6,32,['1997 ・ 프랑스 ・ 영국'],2시간 8분
1229,카산드라 크로싱,3.0,218,['1977 ・ 드라마 ・ 영국 ・ 이탈리아 ・ 독일(구 서독) ・ 미국'],
1231,,0,0,[],
1232,,0,0,[],
1253,형사 퀸,3.5,15,['1989 ・ 미국'],
1256,,0,0,[],
1257,,0,0,[],
1263,아틀란틱 시티,3.3,270,['1980 ・ 로맨스 ・ 캐나다 ・ 프랑스 ・ 미국'],1시간 44분
1270,버드의 마지막 휴가,3.6,4,['1950 ・ 영국'],
1271,,0,0,[],
1274,,0,0,[],
1276,,0,0,[],
1278,뜨거운 가슴으로 내일을,2.9,273,['1983 ・ 스포츠 ・ 미국'],1시간 31분
1280,,0,0,[],
1283,,0,0,[],
1284,슈퍼 마리오,2.3,"3,733",['1993 ・ 모험 ・ 영국 ・ 미국 ・ 일본'],1시간 44분
1287,,0,0,[],
1288,,0,0,[],
1290,더스틴 호프만의 세일즈맨의 죽음,3.8,"2,073",['1985 ・ 드라마 ・ 독일 ・ 미국'],
1291,,0,0,[],
1298,,0,0,[],
1301,에스더 칸,3.0,5,['2000 ・ 드라마 ・ 프랑스 ・ 영국'],2시간 22분
1302,,0,0,[],
1303,,0,0,[],
1305,악마와 깊고 푸른 바다 사이에서,0,0,['1995 ・ 드라마 ・ 프랑스 ・ 영국 ・ 벨기에'],1시간 32분
1319,,0,0,[],
1329,,0,0,[],
