제목,개봉일,국가,장르,별점,네티즌수
남자는 괴로워,1995-02-11,한국,코미디/드라마,7.7,19
화엄경,1993-06-26,한국,판타지/드라마,7.8,13
비상구가 없다,1995-06-17,한국,스릴러,6.2,4
101번째 프로포즈,1993-06-19,한국,로맨스/멜로,7.7,23
뜨거운 비,1993-11-06,한국,드라마,10.0,1
참견은 노 사랑은 오예,1993-07-17,한국,드라마,7.0,9
애마부인 2,1984-02-11,한국,성인,3.0,2
잃어버린 욕망,1994-03-26,한국,액션,5.0,1
엑스,1983-10-22,한국,드라마,10.0,1
여걸 청나비,1984-01-14,한국,액션,7.5,2
여인잔혹사 물레야 물레야,1984-02-25,한국,로맨스/멜로/시대극,6.9,11
키드캅,1993-07-17,한국,코미디/가족/어드벤처,8.1,21
스카이 닥터,1997-10-25,한국,코미디/로맨스/멜로/성인,1.0,1
표류일기,2013-11-14,한국,어드벤처/가족/드라마,8.8,8
영구와 공룡 쮸쮸,1993-07-17,한국,코미디/SF,7.4,29
그 여자 그 남자,1993-07-24,한국,로맨스/멜로,6.0,6
억수탕,1997-10-18,한국,코미디,7.7,11
불꽃 슛 통키,0000-00-00,한국,드라마/액션,9.3,36
파트너,1997-05-31,한국,액션,6.5,2
연인들의 이야기,1983-11-27,한국,로맨스/멜로,10.0,1
열아홉살의 가을,1984-01-08,한국,드라마,4.8,4
오마담의 외출,1983-04-15,한국,로맨스/멜로,8.3,3
거부하는 몸짓으로 저 하늘을,1993-11-16,한국,성인,8.6,10
가슴 달린 남자,1993-09-25,한국,로맨스/멜로,6.6,17
원한의 공동묘지,1983-06-25,한국,드라마,8.8,4
이 한몸 돌이 되어,1983-09-17,한국,로맨스/멜로,10.0,1
2월 30일생,1983-08-27,한국,로맨스/멜로,7.0,4
이름없는 여자,1984-02-26,한국,로맨스/멜로,2.1,17
"인간시장, 작은 악마-스물 두 살의 자서전",1983-07-09,한국,드라마,6.7,3
비오는 날 수채화 2 - 느티나무의 언덕,1993-09-25,한국,로맨스/멜로,4.4,8
뽕띠,1993-10-20,한국,성인,4.0,2
사랑하고 싶은 여자 & 결혼하고 싶은 여자,1993-09-30,한국,코미디/로맨스/멜로,7.0,1
인사대전,1983-10-15,한국,드라마,8.0,2
일송정 푸른솔은,1983-08-27,한국,드라마/전쟁,7.7,7
소녀 18세,1993-10-23,한국,코미디/로맨스/멜로/드라마,7.0,1
정염의 갈매기,1984-11-03,한국,로맨스/멜로,9.0,1
애마부인 9,1993-11-06,한국,성인,7.6,12
참새와 허수아비,1983-04-15,한국,로맨스/멜로,6.1,7
이혼녀,1993-12-04,한국,드라마,0.0,1
화야,1983-04-02,한국,액션,7.5,2
그 섬에 가고 싶다,1993-12-24,한국,드라마,7.7,14
선유락,1994-02-21,한국,스릴러,5.0,1
사라는 유죄,1993-12-11,한국,스릴러,5.0,1
투캅스,1993-12-18,한국,코미디,6.8,46
작은 거인,1994-03-12,한국,액션,6.0,1
코리안 커넥션,1990-01-27,한국,범죄/액션,3.8,4
소쩍궁 탐정,1990-02-20,한국,전쟁/코미디,0.0,1
갈채,1982-04-03,한국,드라마,6.0,2
수탉,1990-03-24,한국,드라마,9.2,11
겨울여자 2,1983-03-19,한국,로맨스/멜로/드라마,4.5,2
관속의 드라큐라,1982-06-25,한국,공포,9.5,2
나는 날마다 일어선다,1990-02-17,한국,드라마,7.0,7
금지된 사랑,1983-02-19,한국,로맨스/멜로,5.3,3
날마다 허물벗는 꽃뱀,1982-04-17,한국,로맨스/멜로,6.0,1
내일은 야구왕,1982-12-12,한국,드라마,7.8,5
돌아온 소림사 주방장,1983-03-05,한국,액션,6.0,1
들개,1983-03-17,한국,로맨스/멜로,5.5,2
무녀의 밤,1982-10-23,한국,로맨스/멜로,5.0,1
무림 걸식도사,1982-11-05,한국,무협/액션,7.3,6
반노,1982-10-17,한국,로맨스/멜로,4.5,2
밤의 천국,0000-00-00,한국,로맨스/멜로,10.0,1
휴거,1990-02-17,한국,드라마,5.0,2
버려진 청춘,1982-09-24,한국,로맨스/멜로,7.6,7
언제나 그 자리에,1990-04-01,한국,액션,10.0,1
복마전,1983-09-09,한국,드라마,7.0,1
청송으로 가는 길,1990-05-05,한국,드라마,6.8,10
빨간 앵두,1982-11-06,한국,로맨스/멜로,5.7,3
산딸기,1982-09-04,한국,로맨스/멜로,5.3,6
